"Question","Description","Option","Correct answer","Scoring logic","Skill"
"Teacher Pre-Training Self Report: Social-Emotional Learning and Foundational Skills","Thank you for taking the time to complete this survey. Your thoughtful responses will help us understand your current perspectives and practices related to Social-Emotional Learning (SEL) before the workshop begins. This information is confidential and will be used to measure the impact of our program and improve future training.","","","",""
"Data Consent","Dear Teachers,


The Consent Form is attached below.
Thank you for taking the time to share your insights.


This survey is designed to better understand your experiences with Social-Emotional Learning (SEL) and Foundational Skills in the classroom, as well as your students' development in these areas. The information you provide will help strengthen teaching practices, guide interventions, and support research to improve student learning in your school.

Your responses will be linked to you as a teacher. However, all student information will remain anonymous, no student names or other identifying information will be collected, stored, or shared.

By completing this survey, you consent to the use of your responses in this and future Tilli-related surveys for the purposes of improving teaching, supporting student learning, and contributing to research on SEL and Foundational Skills.


If you are comfortable participating, please proceed with the survey. Your participation is voluntary, and you are free to stop or exit the survey at any time without any consequences.

Thank you for your valuable participation.

","","","",""
"Do you agree to let your responses be used anonymously to improve teaching and support student learning?","","Yes, I agree","","",""
"Do you agree to let your responses be used anonymously to improve teaching and support student learning?","","No, I do not agree","","",""
"Please write your Full Name.","","","","",""
"Please write your email address.","","","","",""
"Which board do you teach?","","Cambridge","","",""
"Which board do you teach?","","IB (International Baccalaureate)","","",""
"Which board do you teach?","","Edexcel","","",""
"Which board do you teach?","","Government / Local Curriculum","","",""
"Which board do you teach?","","CBSE (Central Board of Secondary Education)","","",""
"Which board do you teach?","","CISCE (Council for the Indian School Certificate Examinations – ICSE/ISC)","","",""
"Which board do you teach?","","Other","","",""
"What grade do you teach?","","Grade 1","","",""
"What grade do you teach?","","Grade 2","","",""
"What grade do you teach?","","Grade 3","","",""
"What grade do you teach?","","Grade 4","","",""
"What grade do you teach?","","Grade 5","","",""
"What grade do you teach?","","No Grade","","",""
"Which section do you teach?","","A","","",""
"Which section do you teach?","","B","","",""
"Which section do you teach?","","C","","",""
"Which section do you teach?","","D","","",""
"Which section do you teach?","","E","","",""
"Which section do you teach?","","F","","",""
"Which section do you teach?","","G","","",""
"Which section do you teach?","","No Section","","",""
"What does ""Social-Emotional Learning (SEL)"" mean for your classroom?","Can you give an example of one thing (activity, intervention, personal action) you did in the last two weeks to address the social-emotional needs of you / your classroom? (If this is irrelevant or nothing comes to mind, do say N/A)","","","","Mindsets"
"The main goal of Social Emotional Learning is best described as:","Pick one","Exam scores","","","Mindsets"
"The main goal of Social Emotional Learning is best described as:","Pick one","Understanding & managing emotions and relationships","","","Mindsets"
"The main goal of Social Emotional Learning is best described as:","Pick one"," Keeping the class quiet","","","Mindsets"
"The main goal of Social Emotional Learning is best described as:","Pick one"," Good manners","","","Mindsets"
"Social Emotional Learning belongs in everyday teaching.","Integrated into everyday classroom experiences, including academic lessons, classroom routines, student interactions, and behavior support, rather than being taught as a separate subject or one-time activity.","1 — [object Object]","","1 · Positively coded (1–5)","Mindsets"
"Social Emotional Learning belongs in everyday teaching.","Integrated into everyday classroom experiences, including academic lessons, classroom routines, student interactions, and behavior support, rather than being taught as a separate subject or one-time activity.","2 — [object Object]","","2 · Positively coded (1–5)","Mindsets"
